# line,type,amount,ministry,source
76,Έσοδα,25973000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,53 Χρεωστικοί τίτλοι (Υποχρεώσεις)
77,Έσοδα,1202027000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,54 Δάνεια
78,Έσοδα,800000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,57 Χρηματοοικονομικά παράγωγα
79,Έσοδα,1304827000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Σύνολο:
80,Έσοδα,2025,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Οικονομικό έτος:
82,Έσοδα,62055000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,11 Φόροι
83,Έσοδα,33667000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,111 Φόροι επί αγαθών και υπηρεσιών
84,Έσοδα,14635000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Φόροι προστιθέμενης αξίας που εισπράττονται μέσω Δ.Ο.Υ
85,Έσοδα,250000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΦΠΑ από ηλεκτρονικό εμπόριο
86,Έσοδα,14385000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω Δ.Ο.Υ.
87,Έσοδα,14385000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω Δ.Ο.Υ.
88,Έσοδα,7853000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Φόροι προστιθέμενης αξίας που εισπράττονται από τελωνεία
89,Έσοδα,2262000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΦΠΑ στα πετρελαιοειδή και στα παράγωγα αυτών
90,Έσοδα,2025,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Οικονομικό έτος:
92,Έσοδα,583000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΦΠΑ στα οχήματα
93,Έσοδα,583000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΦΠΑ στα οχήματα
94,Έσοδα,342000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΦΠΑ στην αιθυλική αλκοόλη
95,Έσοδα,342000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΦΠΑ στην αιθυλική αλκοόλη
96,Έσοδα,12000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΦΠΑ στην ηλεκτρική ενέργεια και το φυσικό αέριο
97,Έσοδα,12000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΦΠΑ στην ηλεκτρική ενέργεια και το φυσικό αέριο
98,Έσοδα,630000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΦΠΑ καπνικών προϊόντων
99,Έσοδα,607000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΦΠΑ καπνικών προϊόντων - εγχώρια και από Ε.Ε.
100,Έσοδα,2025,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Οικονομικό έτος:
102,Έσοδα,23000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΦΠΑ καπνικών προϊόντων - εισαγόμενα από τρίτες χώρες
103,Έσοδα,85000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΦΠΑ εισαγωγής από ηλεκτρονικό εμπόριο
104,Έσοδα,81000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΦΠΑ εισαγωγής από το ειδικό καθεστώς εισαγωγής – IOSS
105,Έσοδα,4000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΦΠΑ εισαγωγής από τις ειδικές ρυθμίσεις – special arrangements
