# line,type,amount,ministry,source
104,Έσοδα,1000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110813001 Τέλος ΑμεΑ στα αεροπορικά εισιτήρια
105,Έσοδα,11000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110815001 Τέλος Πλοίων Αναψυχής και Ημερόπλοιων (ΤΕ.Π.Α.Η)
106,Έσοδα,520000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110820 Φόρος ασφαλίστρων
107,Έσοδα,520000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110820001 Φόρος ασφαλίστρων
108,Έσοδα,71000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110822 Τέλη συνδρομητών σταθερής τηλεφωνίας
109,Έσοδα,71000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110822001 Τέλη συνδρομητών σταθερής τηλεφωνίας
110,Έσοδα,162000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110823 Τέλη συνδρομητών κινητής τηλεφωνίας
111,Έσοδα,162000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110823001 Τέλη συνδρομητών κινητής τηλεφωνίας
112,Έσοδα,17000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110824 Τέλος στη συνδρομητική Τηλεόραση
113,Έσοδα,17000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110824001 Τέλος στη συνδρομητική Τηλεόραση
114,Έσοδα,134000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110825 Φόρος στη Διαμονή
115,Έσοδα,134000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110825001 Φόρος στη Διαμονή
116,Έσοδα,1000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110889 Λοιποί ειδικοί φόροι σε υπηρεσίες
117,Έσοδα,1000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110889001 Λοιποί ειδικοί φόροι σε υπηρεσίες
118,Έσοδα,203000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,11109 Λοιποί Φόροι επί αγαθών
119,Έσοδα,4000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110901001 Εισφορά στο λάδι και στις ελιές για κάλυψη εξόδων δακοκτονίας
120,Έσοδα,85000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110902 Ειδικοί Φόροι στη διακίνηση καυσίμων
121,Έσοδα,85000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110902001 Ειδικοί Φόροι στη διακίνηση καυσίμων
122,Έσοδα,13000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110903 Περιβαλλοντικά τέλη και εισφορές
123,Έσοδα,13000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110903001 Περιβαλλοντικό τέλος πλαστικής σακούλας
124,Έσοδα,101000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110904 Πράσινο τέλος στο diesel κίνησης
125,Έσοδα,101000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110904001 Πράσινο τέλος στο diesel κίνησης
126,Έσοδα,424000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,112 Φόροι και δασμοί επί εισαγωγών
127,Έσοδα,424000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,11201 Δασμοί
128,Έσοδα,406000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1120101 Δασμοί κοινού δασμολογίου
129,Έσοδα,406000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1120101001 Δασμοί κοινού δασμολογίου
130,Έσοδα,18000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1120102 Δασμοί αντιντάμπιγκ και αντισταθμιστικοί δασμοί
